trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",30,18,5.108655760532833,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",30,0,26.645386851061424,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",20,4,-28.198366130018073,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",25,16,9.061931084494141,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",25,7,20.432703679958006,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",30,13,3.7141621732892127,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",25,11,24.456667167511025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",30,11,-1.4797379466971379,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",20,10,6.3372439964154035,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",20,0,25.36190577633471,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",25,8,18.947376151823647,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",30,5,33.647238237203844,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",25,11,-41.749346072913404,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",20,13,13.108645739127919,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15894270919978754}",25,2,-27.658027486625695,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778965}",20,0,-16.813746951847612,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
185,False,"{'a': 0.5, 'e': 0.15577974928671176}",20,3,3.688416307077759,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384465}",25,8,29.584206587821196,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1526797322759062}",25,1,-9.250294748541878,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15115293495314713}",25,13,21.928081528755975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361566}",30,18,10.13839615067096,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.1481449915475795}",20,9,-21.966483224112473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
191,False,"{'a': 0.5, 'e': 0.1466635416321037}",30,14,20.828096664737874,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578268}",30,17,23.74538872131874,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14374493715362485}",20,0,-16.244754845066087,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
194,False,"{'a': 0.5, 'e': 0.1423074877820886}",20,3,-33.568203986141015,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.1408844129042677}",20,0,-56.15396790362834,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
196,False,"{'a': 0.5, 'e': 0.13947556877522502}",30,16,26.04720743102446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747278}",30,5,36.79895332899127,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13670000495659804}",20,16,10.283987570204769,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703207}",30,17,5.54698052457783,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13397967485796175}",20,3,-14.283093809703825,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
201,False,"{'a': 0.5, 'e': 0.13263987810938213}",25,0,39.96314118746047,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.1313134793282883}",20,16,5.594024553132992,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13000034453500542}",30,20,-5.90795117520736,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.12870034108965536}",20,0,28.35278221620802,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.5, 'e': 0.12741333767875881}",20,4,21.220792240926194,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12613920430197123}",30,0,23.017973293459995,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
207,False,"{'a': 0.5, 'e': 0.12487781225895152}",20,10,-4.476022989873981,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
